Component,Origin,License
core,k8s.io/apiextensions-apiserver/pkg/client/clientset/clientset/scheme,Apache-2.0
core,k8s.io/apimachinery/pkg/api/equality,Apache-2.0
core,k8s.io/apimachinery/pkg/api/errors,Apache-2.0
core,k8s.io/apimachinery/pkg/api/meta,Apache-2.0
core,k8s.io/apimachinery/pkg/api/meta/testrestmapper,Apache-2.0
core,k8s.io/apimachinery/pkg/api/resource,Apache-2.0
core,k8s.io/apimachinery/pkg/apis/meta/internalversion,Apache-2.0
core,k8s.io/apimachinery/pkg/apis/meta/v1,Apache-2.0
core,k8s.io/apimachinery/pkg/apis/meta/v1/unstructured,Apache-2.0
core,k8s.io/apimachinery/pkg/apis/meta/v1beta1,Apache-2.0
core,k8s.io/apimachinery/pkg/conversion,Apache-2.0
core,k8s.io/apimachinery/pkg/conversion/queryparams,Apache-2.0
core,k8s.io/apimachinery/pkg/fields,Apache-2.0
core,k8s.io/apimachinery/pkg/labels,Apache-2.0
core,k8s.io/apimachinery/pkg/runtime,Apache-2.0
core,k8s.io/apimachinery/pkg/runtime/schema,Apache-2.0
core,k8s.io/apimachinery/pkg/runtime/serializer,Apache-2.0
core,k8s.io/apimachinery/pkg/runtime/serializer/json,Apache-2.0
core,k8s.io/apimachinery/pkg/runtime/serializer/protobuf,Apache-2.0
core,k8s.io/apimachinery/pkg/runtime/serializer/recognizer,Apache-2.0
core,k8s.io/apimachinery/pkg/runtime/serializer/streaming,Apache-2.0
core,k8s.io/apimachinery/pkg/runtime/serializer/versioning,Apache-2.0
core,k8s.io/apimachinery/pkg/selection,Apache-2.0
core,k8s.io/apimachinery/pkg/types,Apache-2.0
core,k8s.io/apimachinery/pkg/util/cache,Apache-2.0
core,k8s.io/apimachinery/pkg/util/clock,Apache-2.0
core,k8s.io/apimachinery/pkg/util/diff,Apache-2.0
core,k8s.io/apimachinery/pkg/util/errors,Apache-2.0
core,k8s.io/apimachinery/pkg/util/framer,Apache-2.0
core,k8s.io/apimachinery/pkg/util/intstr,Apache-2.0
core,k8s.io/apimachinery/pkg/util/json,Apache-2.0
core,k8s.io/apimachinery/pkg/util/mergepatch,Apache-2.0
core,k8s.io/apimachinery/pkg/util/naming,Apache-2.0
core,k8s.io/apimachinery/pkg/util/net,Apache-2.0
core,k8s.io/apimachinery/pkg/util/runtime,Apache-2.0
core,k8s.io/apimachinery/pkg/util/sets,Apache-2.0
core,k8s.io/apimachinery/pkg/util/strategicpatch,Apache-2.0
core,k8s.io/apimachinery/pkg/util/uuid,Apache-2.0
core,k8s.io/apimachinery/pkg/util/validation,Apache-2.0
core,k8s.io/apimachinery/pkg/util/validation/field,Apache-2.0
